State,City,Population,Violent crime,Murder and non-negligent man-slaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,
ALABAMA,Albertville,"18,008",69,0,10,11,48,707,143,520,44,,,,,,,
,Alexander City,"15,064",130,0,5,20,105,952,168,761,23,,,,,,,
,Anniston,"23,905",479,6,34,133,306,"2,726",766,"1,765",195,23,,,,,,
,Athens,"19,999",18,0,4,7,7,600,78,491,31,,,,,,,
,Auburn,"47,230",147,2,29,48,68,"2,119",478,"1,583",58,,, ,,,,
,Bessemer,"29,298",488,2,24,197,265,"3,235",848,"2,107",280,,,,,,,
,Birmingham,"238,167","3,261",59,240,"1,369","1,593","19,477","5,156","11,970","2,351",142,,,,,,
,Cullman,"14,489",15,1,4,1,9,780,121,634,25,,,,,,,
,Daphne,"17,813",23,0,3,8,12,361,70,264,27,,,,,,,
,Decatur,"54,594",267,1,20,137,109,"3,921",710,"3,026",185,,,,,,,
,Dothan,"60,429",281,9,59,124,89,"3,207",751,"2,310",146,,,,,,,
,Enterprise,"22,004",33,1,4,8,20,361,99,224,38,,,,,,,
,Eufaula,"13,740",44,1,6,18,19,605,63,512,30,,,,,,,
,Fairfield,"11,996",123,0,14,58,51,"1,667",314,"1,236",117,,,,,,,
,Fairhope,"14,230",19,0,4,10,5,665,112,516,37,,,,,,,
,Florence,"36,086",168,1,7,39,121,"1,927",478,"1,401",48,,,,,,,
,Fort Payne,"13,366",38,0,1,3,34,618,125,465,28,,,,,,,
,Gadsden,"37,865",359,1,43,112,203,"3,548",810,"2,416",322,,,,,,,
,Gardendale,"12,185",18,0,0,11,7,501,55,411,35,,,,,,,
,Hartselle,"12,639",5,0,1,4,0,327,41,275,11,,,,,,,
,Homewood,"24,559",133,0,7,73,53,"1,663",313,"1,219",131,,,,,,,
,Hoover,"65,495",138,3,15,97,23,"2,117",388,"1,531",198,,,,,,,
,Huntsville,"165,311","1,109",6,93,363,647,"10,387","1,924","7,537",926,61,,,,,,
,Jasper,"14,001",81,0,9,33,39,"1,002",122,807,73,,,,,,,
,Leeds,"10,983",40,0,8,15,17,523,103,400,20,,,,,,,
,Madison,"34,303",63,0,8,19,36,734,160,531,43,,,,,,,
,Mobile2,"250,593","1,170",27,125,673,345,"16,417","3,844","11,270","1,303",129,,,,,,
,Montgomery,"201,432","1,330",25,108,623,574,"13,757","3,734","8,777","1,246",,,,,,,
,Mountain Brook,"20,068",12,0,0,9,3,383,40,330,13,,,,,,,
,Muscle Shoals,"12,329",74,0,5,9,60,761,167,559,35,,,,,,,
,Opelika,"23,762",332,2,29,42,259,"1,696",345,"1,315",36,,,,,,,
,Ozark,"15,085",93,1,10,11,71,581,108,428,45,2,,,,,,
,Pelham,"17,510",38,0,4,20,14,505,46,425,34,0,,,,,,
,Pell City,"10,382",65,2,8,10,45,644,96,525,23,,,,,,,
,Phenix City,"28,630",145,3,16,41,85,"1,394",389,848,157,,,,,,,
,Pleasant Grove,"10,360",20,0,0,5,15,205,49,140,16,,,,,,,
,Prattville,"26,831",107,0,7,30,70,"1,283",240,995,48,,,,,,,
,Prichard,"28,166",302,3,10,127,162,"2,065",639,"1,112",314,,,,,,,
,Saraland,"12,589",25,0,0,11,14,539,101,410,28,,,,,,,
,Scottsboro,"14,873",16,1,4,6,5,732,132,548,52,,,,,,,
,Selma,"19,758",348,6,21,90,231,"2,530",661,"1,656",213,,,,,,,
,Sylacauga,"12,689",56,0,7,26,23,884,121,752,11,,,,,,,
,Talladega,"17,178",84,0,16,26,42,"1,082",204,837,41,,,,,,,
,Trussville,"14,699",34,0,0,18,16,768,65,644,59,,,,,,,
,Tuscaloosa,"79,812",471,10,46,184,231,"5,005","1,231","3,536",238,,,,,,,
,Tuskegee,"11,738",38,2,6,11,19,542,234,295,13,,,,,,,
,Vestavia Hills,"31,111",39,0,1,23,15,295,77,169,49,,,,,,,
ALASKA,Anchorage,"273,714","2,164",15,263,331,"1,555","9,901","1,523","7,354","1,024",82,,,,,,
,Fairbanks,"31,286",231,2,54,46,129,"1,503",224,"1,134",145,14,,,,,,
,Juneau,"31,505",145,0,39,7,99,"1,382",163,"1,181",38,9,,,,,,
ARIZONA,Apache Junction,"35,021",126,1,12,21,92,"1,695",419,"1,096",180,13,,,,,,
,Bullhead City,"37,314",283,2,2,22,257,"2,442",500,"1,703",239,20,,,,,,
,Camp Verde,"10,236",41,0,6,1,34,337,60,241,36,0,,,,,,
,Casa Grande,"30,568",274,0,6,59,209,"3,468","1,163","1,851",454,38,,,,,,
,Chandler,"217,471",716,3,52,135,526,"9,562","1,535","6,490","1,537",44,,,,,,
